la,lo,s
53.8044,-3.0214,3
53.7982,-0.0758,2
53.5617,-0.0762,3
53.6363,-0.7845,3
53.9695,-1.0989,3
52.9241,-1.4734,3
52.9186,-1.498,3
52.9258,-1.4785,3
52.9581,-1.1458,3
52.977,-1.1491,2
52.0755,-2.726,3
51.9167,-2.6308,3
52.0586,-2.5318,3
52.6703,-2.4257,3
52.9784,-2.0978,3
51.4588,-2.5874,3
51.4715,-2.5226,2
51.4444,-2.5931,3
51.4634,-2.5871,3
51.4739,-2.5167,3
51.474,-2.596,3
51.4693,-2.5594,3
50.3724,-4.1332,3
50.3914,-4.1267,2
50.4846,-3.5732,3
52.5724,-0.2277,3
52.5523,-0.2671,3
51.8822,-0.3992,3
51.5456,0.7171,3
51.5561,0.7012,3
51.4679,0.3627,3
51.5255,0.4468,2
51.4768,0.4202,3
51.3685,0.518,3
51.4555,-0.9971,3
51.509,-0.5558,3
51.4369,-0.9353,3
50.826,-0.1351,3
50.834,-1.0718,3
50.8511,-1.0683,3
50.9341,-1.4191,3
50.8878,-1.372,2
54.8373,-1.7706,3
54.8345,-1.359,3
53.1441,-2.3858,3
53.3047,-2.3766,3
53.3267,-2.2274,3
53.3264,-2.4591,2
53.1241,-2.8062,3
53.181,-2.7147,3
52.6906,-2.7072,2
50.4135,-5.0783,2
50.376,-4.2072,3
50.5167,-4.2696,2
50.5061,-4.3134,3
51.0677,-1.7732,3
51.0684,-1.7957,3
51.6115,-1.8664,3
52.2098,-0.5109,3
55.0398,-1.7459,2
55.0855,-1.6262,3
55.1013,-1.8412,2
50.7224,-1.8612,3
50.7195,-2.0103,3
50.8258,-2.6781,3
50.8418,-1.9146,1
50.6234,-2.4458,2
51.6791,-0.6494,3
51.815,-0.823,3
51.6373,-0.5609,3
51.9714,-0.7173,2
52.3609,-0.7618,2
52.3016,-0.6158,3
52.4077,-0.7548,3
52.472,-0.7265,2
52.4605,-0.4621,3
52.2411,-1.1755,2
52.2412,-0.9159,3
52.1848,-0.8969,3
52.2592,-0.858,3
52.3061,-1.128,3
54.5414,-3.5895,3
54.6319,-3.4912,3
54.8796,-2.968,3
54.9063,-2.9452,3
54.2953,-2.5699,3
54.395,-2.921,2
54.3068,-3.2289,3
54.1293,-0.7753,3
53.9956,-1.537,3
53.7891,-1.0396,3
53.9061,-1.9864,3
53.9697,-1.981,3
54.2623,-0.4498,3
51.1267,-3.0023,3
51.135,-3.2544,3
51.1806,-2.5327,3
51.1504,-2.7207,3
51.1623,-2.9674,2
51.2189,-2.429,2
52.313,-0.2253,3
52.3027,-0.076,3
53.0419,-1.5763,1
53.0821,-1.5737,2
52.8867,-1.5459,3
50.7362,-3.5148,3
51.1028,-4.1589,3
51.016,-3.7876,3
50.6089,-3.5531,3
50.9086,0.1038,2
50.8794,0.289,2
51.0992,0.343,3
50.9017,0.2497,3
51.5674,0.5415,3
51.5548,0.5552,3
51.6934,0.4496,3
51.7511,0.511,3
51.7202,0.4781,3
51.7255,0.4656,3
51.7515,0.4763,3
51.8701,0.8572,3
51.8896,0.8501,3
51.6731,0.0039,3
51.6173,0.0437,3
51.7178,0.2482,3
51.6877,-0.0069,3
51.9473,1.0545,2
51.9389,0.2206,3
51.9664,0.3371,3
51.8937,-2.1153,3
51.8995,-2.0657,3
51.854,-2.2436,3
51.2502,-1.0722,2
51.2622,-1.1168,3
50.9788,-1.3883,3
50.8501,-1.152,3
51.2736,-0.8391,3
50.8611,-0.9382,3
50.7678,-1.6642,3
50.9463,-1.5306,3
51.1667,-1.6116,3
51.1148,-1.4994,3
50.9834,-1.506,3
51.7083,-0.0414,3
51.7658,-0.4753,3
51.9362,-0.3898,3
