Data;Ora;Luogo;Feriti;Tipo;Latitudine;Longitudine
23/01/2023;00:30;VIA MUSCO ANGELO di fronte al civico 2;0;C;38,110862;13,361166
23/01/2023;01:20;VIA LINCOLN di fronte al civico 13/a;1;F;38,114505;13,374705
23/01/2023;02:00;VIA PORTA DI CASTRO altezza (spec.) 135;0;C;38,111365;13,357281
23/01/2023;06:40;VIA ROMA altezza (inters.) VIA BOLOGNA;1;F;38,113643;13,365048
23/01/2023;06:45;VIA LA LOGGIA GAETANO nr. 144;0;C;38,107516;13,334549
23/01/2023;06:50;VIA LA LOGGIA GAETANO nr. 144;0;C;38,107516;13,334549
23/01/2023;13:20;VIALE LEONARDO DA VINCI altezza del civico 250;1;F;38,127059;13,323349
23/01/2023;16:30;VIA BONELLO MATTEO intersezione con VIA GIOIAMIA;0;C;38,115341;13,354298
23/01/2023;17:25;STRADA PROV. PALERMO-ALTOFONTE km 2.5;1;F;38,085831;13,3313
23/01/2023;17:25;VIA BASILE ERNESTO di fronte al civico 180;0;C;38,101873;13,348287
23/01/2023;18:30;VIA ORETO intersezione VIA ERRANTE VINCENZO;1;F;38,108386;13,366207
23/01/2023;19:50;VIALE LEONARDO DA VINCI intersezione VIA BEATO ANGELICO;1;F;38,127117;13,32311
23/01/2023;20:05;VIA ALDISIO SALVATORE pressi 3;3;F;38,155436;13,329777
24/01/2023;12:15;VIALE DUCA DEGLI ABRUZZI altezza -;1;F;38,170808;13,327746
24/01/2023;17:20;VIA IMERA intersezione con VIA D'OSSUNA;1;F;38,115372;13,349472
24/01/2023;18:15;FORO UMBERTO I intersezione SALITA MURA DELLE CATTIVE;1;F;38,117583;13,37301
24/01/2023;18:30;VIA DIVISI altezza del civico 25;1;F;38,113562;13,365958
25/01/2023;00:40;PIAZZA DELLA RIVOLUZIONE intersezione VIA GARIBALDI;0;C;38,1141;13,366567
25/01/2023;08:28;PIAZZA CAPITANERIA DEL PORTO nr. 3;0;C;38,12102;13,371262
25/01/2023;08:30;CORSO ALBERTO AMEDEO intersezione VIA LASCARIS COSTANTINO;1;F;38,117351;13,350873
25/01/2023;10:50;VIA CATANIA intersezione con VIA CUSMANO GIACOMO;0;C;38,126805;13,346756
